,qty_dot_url,qty_hyphen_url,qty_underline_url,qty_slash_url,qty_questionmark_url,qty_equal_url,qty_at_url,qty_exclamation_url,qty_space_url,qty_tilde_url,qty_comma_url,qty_plus_url,qty_asterisk_url,qty_hashtag_url,qty_dollar_url,qty_percent_url,qty_tld_url,length_url,qty_dot_domain,qty_hyphen_domain,qty_underline_domain,qty_at_domain,qty_vowels_domain,domain_in_ip,server_client_domain,qty_dot_directory,qty_hyphen_directory,qty_underline_directory,qty_questionmark_directory,directory_length,qty_hyphen_file,file_length,qty_dot_params,qty_hyphen_params,qty_underline_params,qty_slash_params,qty_questionmark_params,qty_percent_params,email_in_url,url_shortened,phishing
57495,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,2,0,0,0,4,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
26981,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,31,2,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
54702,3,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,69,2,0,0,0,6,0,0,1,0,2,0,42,0,20,-1,-1,-1,-1,-1,-1,0,0,0
54523,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,3,0,0,0,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
40353,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,48,1,0,0,0,4,0,0,0,0,0,0,38,0,0,-1,-1,-1,-1,-1,-1,0,0,1
57063,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,4,0,0,0,5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
22862,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,53,1,0,0,0,4,0,0,1,1,0,0,38,0,9,-1,-1,-1,-1,-1,-1,0,0,1
51073,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,14,1,0,0,0,4,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,0,0,1
40183,3,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,86,2,0,0,0,6,0,0,1,1,0,0,65,0,9,-1,-1,-1,-1,-1,-1,0,0,1
42365,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,2,0,0,0,5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
40408,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,25,1,0,0,0,5,0,0,0,0,0,0,8,0,7,-1,-1,-1,-1,-1,-1,0,0,1
23719,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,18,2,1,0,0,6,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,0,0,0
33735,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,2,0,0,0,4,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
23846,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,38,1,0,0,0,4,0,0,1,0,0,0,27,0,10,-1,-1,-1,-1,-1,-1,0,0,1
10045,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1,0,0,0,4,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
17688,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,4,0,0,0,7,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
20155,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,24,3,0,0,0,7,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,0,0,0
34058,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,17,1,0,0,0,7,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,0,0,0
42978,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,3,0,0,0,6,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
30202,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,39,2,0,0,0,1,0,0,1,0,0,0,26,0,7,-1,-1,-1,-1,-1,-1,0,0,1
36518,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15,2,0,0,0,2,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,0,0,0
44913,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,55,2,1,0,0,4,0,0,1,0,0,0,39,0,13,-1,-1,-1,-1,-1,-1,0,0,1
22140,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,17,3,0,0,0,3,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,0,0,0
48054,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,40,1,0,0,0,5,0,0,1,1,0,0,28,0,8,-1,-1,-1,-1,-1,-1,0,0,1
44736,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,28,2,0,0,0,5,0,0,0,0,0,0,9,0,3,-1,-1,-1,-1,-1,-1,0,0,0
9544,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,2,0,0,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
53785,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,13,1,0,0,0,1,0,0,0,0,0,0,7,0,6,-1,-1,-1,-1,-1,-1,0,0,1
11601,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,38,2,0,0,0,5,0,0,0,0,0,0,18,0,0,-1,-1,-1,-1,-1,-1,0,0,1
54112,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,22,2,0,0,0,5,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,0,0,1
10218,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,28,2,0,0,0,2,0,0,1,0,0,0,16,0,9,-1,-1,-1,-1,-1,-1,0,0,0
53884,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,13,1,0,0,0,2,0,0,0,0,0,0,7,0,6,-1,-1,-1,-1,-1,-1,0,1,1
8194,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15,1,0,0,0,5,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,0,0,0
54793,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,41,1,0,0,0,4,0,0,0,0,0,0,29,0,0,-1,-1,-1,-1,-1,-1,0,0,1
24352,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,38,1,0,0,0,4,0,0,0,1,0,0,27,0,5,-1,-1,-1,-1,-1,-1,0,0,1
32961,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,0,0,0,1,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,0,0,1
56851,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,40,2,0,0,0,9,0,0,0,1,0,0,15,0,0,-1,-1,-1,-1,-1,-1,0,0,1
11661,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,21,1,0,0,0,4,0,0,0,0,0,0,10,0,0,-1,-1,-1,-1,-1,-1,0,0,0
18342,2,0,2,4,0,1,0,0,0,0,0,0,0,0,0,0,1,75,2,0,0,0,6,0,0,0,0,1,0,46,0,4,0,0,1,0,0,0,0,0,1
41411,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,2,0,0,0,4,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
7681,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,42,1,0,0,0,6,0,0,0,1,0,0,22,0,4,-1,-1,-1,-1,-1,-1,0,0,1
15041,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,2,0,0,0,9,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
43393,3,1,0,7,0,1,1,0,0,0,0,0,0,0,0,0,2,94,1,0,0,0,8,0,0,1,1,0,0,56,0,10,1,0,0,0,0,0,1,0,1
17525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,1,0,0,0,7,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
50239,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,1,0,0,0,4,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
19756,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,2,0,0,0,8,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
13141,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,2,0,0,0,6,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
37288,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,2,0,0,0,8,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
35834,6,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,48,2,0,0,0,2,0,0,1,0,0,0,10,0,9,3,0,0,0,0,0,0,0,1
22141,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,16,1,1,0,0,0,0,0,1,0,0,0,10,0,9,-1,-1,-1,-1,-1,-1,0,0,1
16451,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,2,0,0,0,6,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
22008,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,58,2,0,0,0,8,0,0,1,1,0,0,15,1,14,0,0,0,0,0,0,0,0,0
224,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,46,2,0,0,0,5,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0
20604,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,4,0,0,0,8,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
32325,5,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,2,106,2,0,0,0,11,0,0,1,0,0,0,20,0,10,2,0,0,4,0,0,0,0,1
13529,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,33,2,0,0,0,12,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,0,0,1
3502,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
1792,6,4,0,4,0,2,1,0,0,0,0,0,0,0,0,0,2,87,3,0,0,0,4,0,0,0,2,0,0,18,0,0,3,2,0,0,0,0,1,0,1
38332,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,16,2,0,0,0,4,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,0,0,1
28249,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15,3,0,0,0,1,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,0,0,0
31513,3,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,62,2,2,0,0,6,0,0,1,1,0,0,37,0,9,-1,-1,-1,-1,-1,-1,0,0,1
26749,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,46,2,0,0,0,9,0,0,0,0,0,0,18,0,2,-1,-1,-1,-1,-1,-1,0,0,0
18775,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,2,1,0,0,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
