,qty_dot_url,qty_hyphen_url,qty_underline_url,qty_slash_url,qty_questionmark_url,qty_equal_url,qty_at_url,qty_exclamation_url,qty_space_url,qty_tilde_url,qty_comma_url,qty_plus_url,qty_asterisk_url,qty_hashtag_url,qty_dollar_url,qty_percent_url,qty_tld_url,length_url,qty_dot_domain,qty_hyphen_domain,qty_underline_domain,qty_at_domain,qty_vowels_domain,domain_in_ip,server_client_domain,qty_dot_directory,qty_hyphen_directory,qty_underline_directory,qty_percent_directory,directory_length,file_length,qty_dot_params,qty_hyphen_params,qty_underline_params,qty_slash_params,qty_questionmark_params,qty_percent_params,email_in_url,url_shortened,phishing
48764,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,46,2,0,0,0,9,0,0,0,0,0,0,18,2,-1,-1,-1,-1,-1,-1,0,0,0
25913,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,2,0,0,0,6,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
74414,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,49,2,0,0,0,3,0,0,0,1,0,0,34,0,-1,-1,-1,-1,-1,-1,0,0,0
68655,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,2,0,0,0,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
73639,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,43,1,0,0,0,2,0,0,0,1,0,0,33,0,-1,-1,-1,-1,-1,-1,0,0,1
1452,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,2,0,0,0,7,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
25439,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,48,2,0,0,0,6,0,0,0,2,0,0,32,4,-1,-1,-1,-1,-1,-1,0,0,1
24112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,1,0,0,0,5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
32128,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,14,1,0,0,0,4,0,0,0,0,0,0,2,1,-1,-1,-1,-1,-1,-1,0,0,1
6781,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,2,0,0,0,10,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
66818,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,1,0,0,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
50416,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,2,0,0,0,7,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
38831,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,2,0,0,0,5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
14731,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,2,0,0,0,6,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
83747,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,4,0,0,0,6,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
33736,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,3,0,0,0,7,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
347,3,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,97,3,1,0,0,8,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,1
48694,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,1,0,0,0,4,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
41692,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,2,0,0,0,5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
45358,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,7,2,165,2,0,0,0,8,0,0,1,1,0,0,19,18,3,0,0,0,0,7,0,0,1
22561,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,2,0,0,0,4,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
76560,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,1,0,0,0,5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
25495,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,99,2,0,0,0,7,0,0,0,1,0,0,78,0,-1,-1,-1,-1,-1,-1,0,0,1
63111,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,40,2,0,0,0,5,0,0,1,0,0,0,20,12,-1,-1,-1,-1,-1,-1,0,0,1
88454,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,2,0,0,0,4,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
41515,3,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,71,2,0,0,0,8,0,0,1,2,0,0,53,10,-1,-1,-1,-1,-1,-1,0,0,1
67402,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12,1,0,0,0,3,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,0,0,0
42619,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,46,2,0,0,0,9,0,0,0,0,0,0,18,2,-1,-1,-1,-1,-1,-1,0,0,0
14354,2,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,2,44,1,1,0,0,7,0,0,1,0,0,0,18,0,0,0,0,0,0,0,0,0,1
30862,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,1,71,2,0,0,0,5,0,0,1,0,0,1,53,9,-1,-1,-1,-1,-1,-1,0,0,1
15039,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,37,1,1,0,0,7,0,0,0,1,0,0,20,7,-1,-1,-1,-1,-1,-1,0,0,1
65894,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,3,0,0,0,8,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
45196,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,29,2,0,0,0,9,0,0,0,0,0,0,6,5,-1,-1,-1,-1,-1,-1,0,0,1
84999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
48552,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,1,0,0,0,5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
36832,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,2,0,0,0,6,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
3700,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1,0,0,0,2,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,0,0,1
6342,2,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,105,2,0,0,0,1,0,0,0,10,0,0,94,44,-1,-1,-1,-1,-1,-1,0,0,0
19147,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,31,2,0,0,0,10,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,0,0,1
37440,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,2,0,0,0,4,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
52111,1,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,67,1,1,0,0,5,0,0,0,0,0,0,52,3,-1,-1,-1,-1,-1,-1,0,0,1
80932,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,2,0,0,0,5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
27270,3,1,0,5,0,1,1,0,0,0,0,0,0,0,0,0,2,82,1,0,0,0,8,0,0,1,1,0,0,35,9,1,0,0,0,0,0,1,0,1
2107,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,2,1,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
60901,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,3,0,0,0,7,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
6598,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,2,0,0,0,6,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
64774,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,2,0,0,0,5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
31525,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,2,0,0,0,6,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
78361,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,1,0,0,0,6,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
33404,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,1,0,0,0,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
36032,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,2,0,0,0,5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
19717,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,2,0,0,0,4,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
41867,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,2,0,0,0,7,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
34970,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,3,0,0,0,4,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
26682,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,30,4,1,0,0,9,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
86419,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,2,0,0,0,4,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
45977,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,1,0,0,0,6,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
23295,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,36,1,1,0,0,5,0,0,0,0,0,0,21,0,-1,-1,-1,-1,-1,-1,0,0,1
62178,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,2,0,0,0,8,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
6660,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,2,0,0,0,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
7431,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,2,0,0,0,10,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
59573,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,1,0,0,0,8,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
31669,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,2,0,0,0,12,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
69688,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,2,0,0,0,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
77458,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,2,0,0,0,9,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
87582,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,67,2,0,0,0,3,0,0,1,0,0,0,50,9,-1,-1,-1,-1,-1,-1,0,0,1
29125,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,30,1,0,0,0,5,0,0,1,0,0,0,16,9,-1,-1,-1,-1,-1,-1,0,0,1
7834,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,48,4,0,0,0,12,0,0,1,0,0,0,11,10,-1,-1,-1,-1,-1,-1,0,0,1
55348,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,2,0,0,0,6,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
11987,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,2,0,0,0,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
68035,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,2,0,0,0,4,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
24957,6,0,0,8,0,5,0,0,0,0,0,0,0,0,0,0,3,124,2,0,0,0,7,0,0,0,0,0,0,20,5,4,0,0,5,0,0,0,0,1
55177,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,1,0,0,0,5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
9454,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,4,0,0,0,7,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
71432,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,2,0,0,0,7,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
75006,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,3,0,0,0,10,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
618,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,2,0,0,0,4,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
16654,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,2,0,0,0,4,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
28891,3,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,63,2,0,0,0,6,0,0,1,1,0,0,47,9,-1,-1,-1,-1,-1,-1,0,0,1
18454,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,22,2,0,0,0,6,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,0,0,1
59219,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,2,0,0,0,4,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
78290,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15,1,0,0,0,1,0,0,0,0,0,0,11,10,-1,-1,-1,-1,-1,-1,0,1,1
46050,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,3,0,0,0,7,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
87007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,1,0,0,0,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
28816,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,2,0,0,0,4,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
54244,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,2,0,0,0,12,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
77703,2,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,79,2,0,0,0,3,0,0,0,7,0,0,70,0,-1,-1,-1,-1,-1,-1,0,0,0
12172,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,44,2,0,0,0,3,0,0,1,0,0,0,31,9,-1,-1,-1,-1,-1,-1,0,0,0
31865,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,2,0,0,0,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
65582,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,2,0,0,0,4,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
12794,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,3,0,0,0,7,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
3319,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,0,0,0,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
16758,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,16,1,0,0,0,6,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,0,0,1
2054,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,45,1,0,0,0,6,0,0,0,1,1,0,27,0,-1,-1,-1,-1,-1,-1,0,0,1
13561,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,1,0,0,0,4,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
33350,2,0,1,4,0,3,0,0,0,0,0,0,0,0,0,0,1,229,1,0,0,0,3,0,0,1,0,0,0,52,9,0,0,1,0,0,0,0,0,1
41233,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
80416,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,2,0,0,0,7,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
8564,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,3,0,0,0,9,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
65190,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,2,0,0,0,4,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
60374,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,2,0,0,0,7,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
51270,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,2,0,0,0,5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
59389,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,2,0,0,0,4,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
81153,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,46,2,0,0,0,8,0,0,1,0,1,0,18,17,-1,-1,-1,-1,-1,-1,0,0,1
61051,4,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,42,3,0,0,0,3,0,0,1,0,1,0,28,11,-1,-1,-1,-1,-1,-1,0,0,0
75768,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,1,0,0,0,4,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
14346,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,3,0,0,0,13,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
39810,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,17,1,0,0,0,3,0,0,0,0,0,0,6,0,-1,-1,-1,-1,-1,-1,0,0,1
7732,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,23,1,0,0,0,5,0,0,0,0,0,0,6,0,-1,-1,-1,-1,-1,-1,0,0,1
49730,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,30,2,0,0,0,8,0,0,0,0,0,0,8,0,-1,-1,-1,-1,-1,-1,0,0,1
5779,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,4,0,0,0,5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
81507,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,47,2,0,0,0,9,0,0,0,0,0,0,19,3,-1,-1,-1,-1,-1,-1,0,0,0
38728,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,2,0,0,0,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
38847,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,58,2,0,0,0,6,0,0,1,0,0,0,37,10,-1,-1,-1,-1,-1,-1,0,0,1
78556,4,4,5,9,1,3,0,0,0,0,0,0,0,0,0,0,2,242,2,0,0,0,9,0,0,0,0,3,0,44,0,2,4,2,3,1,0,0,0,1
31319,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,17,2,0,0,0,4,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,0,0,0
42170,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,2,0,0,0,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
57873,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,2,0,0,0,7,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
60502,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,30,1,0,0,0,7,0,0,0,0,0,0,14,0,-1,-1,-1,-1,-1,-1,0,0,1
10600,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,2,0,0,0,7,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
67747,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,2,0,0,0,5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
62860,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,36,1,132,2,0,0,0,7,0,0,0,0,2,36,116,110,-1,-1,-1,-1,-1,-1,0,0,0
68600,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,2,0,0,0,6,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
29515,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,2,0,0,0,6,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
56509,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,4,0,0,0,10,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
68705,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,2,0,0,0,4,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
59674,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,25,2,0,0,0,5,0,0,0,0,0,0,6,0,-1,-1,-1,-1,-1,-1,0,0,0
69125,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,2,0,0,0,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
