qty_dot_url,qty_hyphen_url,qty_underline_url,qty_slash_url,qty_questionmark_url,qty_equal_url,qty_at_url,qty_exclamation_url,qty_space_url,qty_tilde_url,qty_comma_url,qty_plus_url,qty_asterisk_url,qty_hashtag_url,qty_dollar_url,qty_percent_url,qty_tld_url,length_url,qty_dot_domain,qty_hyphen_domain,qty_underline_domain,qty_at_domain,qty_vowels_domain,domain_in_ip,server_client_domain,qty_dot_directory,qty_hyphen_directory,qty_underline_directory,qty_percent_directory,directory_length,file_length,qty_dot_params,qty_hyphen_params,qty_underline_params,qty_slash_params,qty_questionmark_params,qty_percent_params,email_in_url,tls_ssl_certificate,url_shortened,phishing
3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,42,2,0,0,0,7,0,0,1,0,0,0,22,8,-1,-1,-1,-1,-1,-1,0,1,0,1
4,1,2,7,0,2,0,0,0,0,0,0,0,0,0,0,1,109,1,0,0,0,4,0,0,0,1,1,0,70,0,2,0,1,0,0,0,0,1,0,1
1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,37,1,0,0,0,8,0,0,0,0,0,0,17,0,-1,-1,-1,-1,-1,-1,0,0,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,2,0,0,0,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,36,2,0,0,0,8,0,0,0,0,0,0,10,9,-1,-1,-1,-1,-1,-1,0,0,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,2,0,0,0,5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,3,0,0,0,4,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,2,0,0,0,5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0
3,1,0,5,0,1,1,0,0,0,0,0,0,0,0,0,1,80,1,0,0,0,4,0,0,1,0,0,0,41,6,1,0,0,0,0,0,1,0,0,1
4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,74,3,0,0,0,3,0,0,1,0,0,0,56,17,-1,-1,-1,-1,-1,-1,0,1,0,1
1,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,1,81,1,0,0,0,6,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,2,0,0,0,6,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,2,0,0,0,6,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0
1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,28,1,2,0,0,10,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,17,1,0,0,0,1,0,0,0,0,0,0,12,11,-1,-1,-1,-1,-1,-1,0,0,1,1
2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,28,1,0,0,0,5,0,0,1,0,0,0,13,9,-1,-1,-1,-1,-1,-1,0,1,0,1
1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,15,1,0,0,0,1,0,0,0,0,0,0,10,6,-1,-1,-1,-1,-1,-1,0,1,0,1
1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,68,1,0,0,0,4,0,0,0,0,0,0,53,32,-1,-1,-1,-1,-1,-1,0,1,0,1
10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,136,10,0,0,0,29,0,0,0,0,0,0,44,0,-1,-1,-1,-1,-1,-1,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1,0,0,0,4,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0
2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,52,2,0,0,0,6,0,0,0,0,0,0,34,0,-1,-1,-1,-1,-1,-1,0,0,0,1
2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,44,2,0,0,0,4,0,0,0,4,0,0,26,23,-1,-1,-1,-1,-1,-1,0,1,0,1
2,2,3,4,0,1,0,1,0,0,0,0,0,0,0,0,1,83,1,0,0,0,1,0,0,1,1,0,0,27,6,0,1,3,0,0,0,0,0,0,1
3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,55,2,0,0,0,6,0,0,1,0,1,0,36,7,-1,-1,-1,-1,-1,-1,0,0,0,1
6,1,2,9,0,2,0,0,0,0,0,0,0,0,0,0,1,136,2,0,0,0,3,0,0,2,1,1,0,93,0,2,0,1,0,0,0,0,0,0,1
2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,28,1,0,0,0,1,0,0,1,0,0,0,20,10,-1,-1,-1,-1,-1,-1,0,0,0,1
1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,44,1,0,0,0,13,0,0,0,1,0,0,15,1,-1,-1,-1,-1,-1,-1,0,0,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,2,0,0,0,6,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0
3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,21,2,0,0,0,4,0,0,1,0,0,0,8,7,-1,-1,-1,-1,-1,-1,0,1,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,2,0,0,0,8,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0
3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,78,2,0,0,0,11,0,0,1,1,0,0,44,13,-1,-1,-1,-1,-1,-1,0,0,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,2,0,0,0,8,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,39,1,0,0,0,5,0,0,1,0,0,0,21,15,-1,-1,-1,-1,-1,-1,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,1,0,0,0,6,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23,2,0,0,0,7,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,0,1,0,1
2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,44,2,0,0,0,7,0,0,0,1,0,0,21,0,-1,-1,-1,-1,-1,-1,0,0,0,1
3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,73,2,0,0,0,20,0,0,0,0,0,0,17,8,-1,-1,-1,-1,-1,-1,0,1,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,2,0,0,0,4,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,4,0,0,0,7,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,30,3,0,0,0,4,0,0,1,0,0,0,12,11,-1,-1,-1,-1,-1,-1,0,1,0,0
3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,37,1,0,0,0,5,0,0,1,0,0,0,19,12,-1,-1,-1,-1,-1,-1,0,0,0,1
2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,40,2,0,0,0,6,0,0,0,0,0,0,24,0,-1,-1,-1,-1,-1,-1,0,1,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,2,0,0,0,5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,2,67,2,0,0,0,3,0,0,3,0,0,1,52,9,-1,-1,-1,-1,-1,-1,0,1,0,1
3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,31,2,0,0,0,5,0,0,1,0,0,0,15,0,-1,-1,-1,-1,-1,-1,0,1,0,0
2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,48,1,0,0,0,6,0,0,1,0,0,0,33,9,-1,-1,-1,-1,-1,-1,0,0,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,2,0,0,0,5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0
1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,13,1,0,0,0,1,0,0,0,0,0,0,7,6,-1,-1,-1,-1,-1,-1,0,0,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,2,0,0,0,7,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,2,0,0,0,4,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,70,1,0,0,0,6,0,0,1,0,2,0,54,15,-1,-1,-1,-1,-1,-1,0,1,0,1
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0,3,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,2,0,0,0,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0
1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,101,1,0,0,0,4,0,0,0,1,0,0,86,0,-1,-1,-1,-1,-1,-1,0,1,0,1
9,0,4,13,0,4,0,0,0,0,0,0,0,0,0,0,3,183,2,0,0,0,4,0,0,1,0,0,0,9,8,6,0,4,12,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,2,0,0,0,4,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,2,0,0,0,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,2,0,0,0,4,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,43,2,0,0,0,6,0,0,0,0,0,0,27,4,-1,-1,-1,-1,-1,-1,0,1,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,2,0,0,0,4,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,2,0,0,0,5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,2,0,0,0,4,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,26,1,0,0,0,5,0,0,0,0,0,0,7,0,-1,-1,-1,-1,-1,-1,0,0,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,2,0,0,0,4,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,34,2,0,0,0,9,0,0,0,0,0,0,7,0,-1,-1,-1,-1,-1,-1,0,0,0,1
1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,71,1,0,0,0,6,0,0,0,0,0,0,56,2,-1,-1,-1,-1,-1,-1,0,0,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,2,0,0,0,5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,30,2,1,0,0,4,0,0,0,0,0,0,15,0,-1,-1,-1,-1,-1,-1,0,1,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,2,0,0,0,5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,2,0,0,0,5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
1,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,67,1,0,0,0,5,0,0,0,2,0,0,53,0,-1,-1,-1,-1,-1,-1,0,1,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,2,0,0,0,6,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,65,1,0,0,0,7,0,0,0,0,0,0,46,0,-1,-1,-1,-1,-1,-1,0,1,0,1
3,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,2,56,1,0,0,0,6,0,0,0,0,0,0,9,0,2,0,0,0,0,0,1,0,0,1
1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,24,1,0,0,0,5,0,0,0,0,0,0,10,0,-1,-1,-1,-1,-1,-1,0,0,0,1
14,0,0,4,1,6,0,0,0,0,0,0,0,0,0,0,1,224,1,0,0,0,5,0,0,1,0,0,0,33,8,12,0,0,0,1,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,2,0,0,0,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,1,0,0,0,4,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1
2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,38,1,1,0,0,5,0,0,1,1,0,0,20,6,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,20,2,0,0,0,5,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,0,1,0,1
1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,30,1,0,0,0,6,0,0,0,0,0,0,10,0,-1,-1,-1,-1,-1,-1,0,1,0,1
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,28,2,0,0,0,7,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,0,1,0,1
7,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,3,111,1,0,0,0,7,0,0,5,0,0,0,64,21,1,0,0,0,0,0,1,1,0,1
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23,2,0,0,0,6,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,0,1,0,1
2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,30,2,0,0,0,8,0,0,0,0,0,0,6,0,-1,-1,-1,-1,-1,-1,0,1,0,0
2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,57,2,1,0,0,18,0,0,0,0,0,0,10,9,-1,-1,-1,-1,-1,-1,0,1,0,1
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,4,1,0,0,7,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,2,0,0,0,5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,25,2,0,0,0,8,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,0,1,0,0
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,28,2,0,0,0,11,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,1,0,0,0,4,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,19,1,0,0,0,7,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,0,1,0,0
3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,38,2,1,0,0,4,0,0,1,0,0,0,22,10,-1,-1,-1,-1,-1,-1,0,1,0,1
2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,39,2,0,0,0,6,0,0,0,0,0,0,23,0,-1,-1,-1,-1,-1,-1,0,1,0,1
1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,32,1,0,0,0,4,0,0,0,0,0,0,23,0,-1,-1,-1,-1,-1,-1,0,1,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,2,0,0,0,4,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,14,2,0,0,0,0,0,0,0,0,0,0,4,3,-1,-1,-1,-1,-1,-1,0,0,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,2,0,0,0,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,2,0,0,0,9,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,24,2,0,0,0,6,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,0,1,0,0
2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,47,2,0,0,0,7,0,0,0,1,0,0,26,0,-1,-1,-1,-1,-1,-1,0,1,0,1
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,22,2,0,0,0,6,0,0,0,0,0,0,3,2,-1,-1,-1,-1,-1,-1,0,0,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,2,0,0,0,9,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0
1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,25,1,0,0,0,6,0,0,0,0,0,0,4,0,-1,-1,-1,-1,-1,-1,0,1,0,1
2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,2,2,0,0,5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47,2,0,0,0,17,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1,0,0,0,1,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,0,0,0,1
2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,51,1,0,0,0,6,0,0,1,1,0,0,36,12,-1,-1,-1,-1,-1,-1,0,0,0,1
4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,86,3,0,0,0,8,0,0,1,0,0,0,62,10,-1,-1,-1,-1,-1,-1,0,1,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,2,0,0,0,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,4,0,0,0,5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,2,0,0,0,12,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0
2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,56,2,0,0,0,8,0,0,0,2,0,0,31,0,-1,-1,-1,-1,-1,-1,0,1,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,2,0,0,0,5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,81,2,0,0,0,10,0,0,1,0,0,0,48,12,-1,-1,-1,-1,-1,-1,0,1,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,2,0,0,0,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0
2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,102,1,0,0,0,5,0,0,1,0,0,0,88,78,-1,-1,-1,-1,-1,-1,0,1,0,1
2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,56,1,0,0,0,7,0,0,1,0,0,0,38,9,-1,-1,-1,-1,-1,-1,0,1,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,2,0,0,0,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,2,0,0,0,7,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,2,1,0,0,5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,33,2,2,0,0,5,0,0,1,0,0,0,9,8,-1,-1,-1,-1,-1,-1,0,1,0,1
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,20,2,0,0,0,5,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,0,1,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,2,0,0,0,8,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,28,1,0,0,0,10,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,2,0,0,0,8,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
14,1,0,5,0,3,0,0,0,0,0,0,0,0,0,0,1,234,2,0,0,0,8,0,0,1,1,0,0,46,9,11,0,0,0,0,0,0,1,0,1
3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,25,3,1,0,0,7,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,0,0,0,0
3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,47,2,0,0,0,11,0,0,1,0,0,0,17,9,-1,-1,-1,-1,-1,-1,0,0,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,2,0,0,0,10,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,33,1,0,0,0,4,0,0,0,0,0,0,22,0,-1,-1,-1,-1,-1,-1,0,0,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,3,0,0,0,5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,13,1,0,0,0,2,0,0,0,0,0,0,7,6,-1,-1,-1,-1,-1,-1,0,1,1,1
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,22,1,0,0,0,8,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,0,0,0,1
